age,educational-num,capital-gain,capital-loss,hours-per-week,education,marital-status,occupation,gender,income_>50K
26,9,0,0,30,HS-grad,Never-married,Handlers-cleaners,Male,0
51,9,0,0,43,HS-grad,Divorced,Sales,Female,0
19,9,0,0,25,HS-grad,Never-married,,Female,0
52,9,0,1902,60,HS-grad,Married-civ-spouse,Sales,Male,1
33,13,0,0,50,Bachelors,Married-civ-spouse,Craft-repair,Male,0
19,9,0,0,20,HS-grad,Never-married,Sales,Male,0
24,13,0,0,50,Bachelors,Never-married,,Male,0
48,9,0,0,50,HS-grad,Married-civ-spouse,Machine-op-inspct,Female,0
55,10,0,0,38,Some-college,Divorced,Other-service,Female,0
22,13,0,0,40,Bachelors,Never-married,Exec-managerial,Male,0
26,13,0,0,30,Bachelors,Never-married,Other-service,Male,0
29,9,0,0,40,HS-grad,Married-civ-spouse,Sales,Male,1
60,11,0,0,60,Assoc-voc,Married-civ-spouse,Craft-repair,Male,0
54,14,0,0,37,Masters,Divorced,Prof-specialty,Female,1
51,9,7688,0,50,HS-grad,Married-civ-spouse,Exec-managerial,Male,1
47,7,0,0,38,11th,Divorced,Other-service,Female,0
42,9,0,0,40,HS-grad,Divorced,Craft-repair,Male,0
23,9,0,0,30,HS-grad,Never-married,Adm-clerical,Male,0
35,13,0,0,60,Bachelors,Married-civ-spouse,Sales,Male,1
42,13,0,0,44,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
20,10,0,0,25,Some-college,Never-married,Craft-repair,Female,0
51,14,10520,0,20,Masters,Never-married,Exec-managerial,Male,1
45,4,0,0,55,7th-8th,Married-civ-spouse,Exec-managerial,Male,1
29,10,0,0,35,Some-college,Married-civ-spouse,Other-service,Male,0
44,9,0,1485,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
42,13,0,0,35,Bachelors,Married-civ-spouse,Adm-clerical,Female,0
29,9,0,0,25,HS-grad,Never-married,Handlers-cleaners,Male,0
36,14,0,0,60,Masters,Married-civ-spouse,Prof-specialty,Male,1
55,9,4064,0,40,HS-grad,Married-civ-spouse,Sales,Male,0
47,9,15024,0,40,HS-grad,Married-civ-spouse,Machine-op-inspct,Female,1
29,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
32,14,0,2824,55,Masters,Separated,Exec-managerial,Male,1
41,9,0,0,30,HS-grad,Never-married,,Female,0
18,8,0,0,24,12th,Never-married,,Female,0
40,14,0,0,50,Masters,Married-civ-spouse,Exec-managerial,Male,1
48,10,7688,0,40,Some-college,Married-civ-spouse,Craft-repair,Male,1
48,2,0,0,40,1st-4th,Married-civ-spouse,Machine-op-inspct,Male,0
45,9,0,0,38,HS-grad,Divorced,Exec-managerial,Female,1
50,10,4064,0,55,Some-college,Married-civ-spouse,Craft-repair,Male,0
49,9,0,0,43,HS-grad,Married-civ-spouse,Craft-repair,Male,0
62,11,3137,0,40,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,0
27,5,0,0,40,9th,Never-married,,Female,0
46,13,0,0,40,Bachelors,Never-married,Prof-specialty,Male,0
70,16,0,0,2,Doctorate,Married-civ-spouse,,Male,1
24,9,0,0,40,HS-grad,Married-civ-spouse,Sales,Male,0
59,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
60,10,0,1408,50,Some-college,Divorced,Tech-support,Male,0
35,10,0,0,55,Some-college,Married-civ-spouse,Craft-repair,Male,0
38,10,0,0,40,Some-college,Never-married,Adm-clerical,Female,0
60,9,0,0,40,HS-grad,Married-civ-spouse,Sales,Male,0
52,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Male,0
55,11,0,0,40,Assoc-voc,Married-civ-spouse,Craft-repair,Male,1
34,10,0,0,30,Some-college,Married-civ-spouse,Exec-managerial,Male,0
61,9,0,0,38,HS-grad,Divorced,Sales,Female,0
20,7,0,0,15,11th,Never-married,Transport-moving,Male,0
21,10,0,0,20,Some-college,Never-married,Adm-clerical,Male,0
34,11,0,0,40,Assoc-voc,Divorced,Craft-repair,Male,0
40,13,0,0,40,Bachelors,Married-civ-spouse,Adm-clerical,Male,1
43,11,0,0,50,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,1
23,10,0,0,60,Some-college,Married-civ-spouse,Craft-repair,Male,0
37,9,0,0,40,HS-grad,Separated,Prof-specialty,Female,0
44,11,4386,0,40,Assoc-voc,Married-civ-spouse,Craft-repair,Female,1
51,9,0,0,40,HS-grad,Never-married,Handlers-cleaners,Female,0
43,13,0,0,60,Bachelors,Divorced,Exec-managerial,Male,0
49,14,0,0,43,Masters,Married-civ-spouse,Prof-specialty,Male,1
23,12,0,0,20,Assoc-acdm,Never-married,Sales,Male,0
62,13,7688,0,50,Bachelors,Married-civ-spouse,Craft-repair,Male,1
37,9,0,1848,48,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,1
59,10,0,0,40,Some-college,Married-civ-spouse,Tech-support,Male,1
44,9,0,0,40,HS-grad,Divorced,Other-service,Female,0
50,9,0,0,32,HS-grad,Married-civ-spouse,Exec-managerial,Male,0
44,13,0,0,56,Bachelors,Divorced,Machine-op-inspct,Female,0
25,9,0,0,40,HS-grad,Never-married,Adm-clerical,Female,0
20,6,0,0,40,10th,Never-married,,Male,0
50,14,0,0,40,Masters,Married-civ-spouse,Tech-support,Male,1
39,10,0,0,40,Some-college,Married-civ-spouse,Exec-managerial,Female,1
52,10,15024,0,50,Some-college,Married-civ-spouse,Sales,Male,1
64,9,0,0,40,HS-grad,Widowed,Adm-clerical,Female,1
27,10,0,0,40,Some-college,Separated,Sales,Female,0
47,15,0,0,35,Prof-school,Married-civ-spouse,Prof-specialty,Male,1
39,9,0,0,50,HS-grad,Married-civ-spouse,Other-service,Male,1
37,9,0,0,40,HS-grad,Divorced,Exec-managerial,Male,1
48,9,0,0,37,HS-grad,Widowed,Sales,Female,0
43,9,0,0,45,HS-grad,Divorced,Transport-moving,Male,0
49,6,0,0,32,10th,Never-married,Craft-repair,Male,0
38,9,0,0,40,HS-grad,Married-civ-spouse,Protective-serv,Male,1
50,9,0,0,40,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,0
52,9,0,0,43,HS-grad,Divorced,Adm-clerical,Female,0
26,9,0,0,40,HS-grad,Never-married,Craft-repair,Male,0
48,9,0,0,50,HS-grad,Divorced,Craft-repair,Male,0
50,9,0,0,40,HS-grad,Separated,Sales,Female,0
35,7,6849,0,60,11th,Separated,,Female,0
35,13,0,0,55,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
18,10,0,0,60,Some-college,Never-married,,Male,0
55,9,0,0,16,HS-grad,Separated,Other-service,Female,0
24,4,0,0,25,7th-8th,Never-married,,Female,0
35,11,0,0,35,Assoc-voc,Divorced,Tech-support,Male,0
40,10,0,0,40,Some-college,Married-civ-spouse,Adm-clerical,Male,0
32,9,0,0,40,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,0
51,9,0,0,50,HS-grad,Never-married,,Male,0
64,13,0,0,45,Bachelors,Married-civ-spouse,Craft-repair,Male,1
34,10,0,0,55,Some-college,Married-civ-spouse,Sales,Male,1
30,13,0,0,40,Bachelors,Married-civ-spouse,Adm-clerical,Male,0
43,6,0,0,60,10th,Married-civ-spouse,Craft-repair,Male,0
61,9,0,0,40,HS-grad,Married-civ-spouse,Other-service,Male,0
37,5,0,0,30,9th,Never-married,Priv-house-serv,Female,0
62,4,0,0,53,7th-8th,Married-civ-spouse,Transport-moving,Male,0
41,13,0,1876,40,Bachelors,Never-married,Prof-specialty,Female,0
44,11,0,0,50,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,0
71,4,0,0,15,7th-8th,Separated,,Male,0
48,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
73,4,6418,0,99,7th-8th,Married-civ-spouse,Farming-fishing,Male,1
17,6,0,0,10,10th,Never-married,Sales,Female,0
19,9,0,0,20,HS-grad,Never-married,Other-service,Female,0
53,10,0,0,25,Some-college,Married-civ-spouse,Sales,Male,0
36,13,0,1977,40,Bachelors,Married-civ-spouse,Protective-serv,Male,1
29,10,0,0,50,Some-college,Married-civ-spouse,Tech-support,Male,0
21,9,0,0,35,HS-grad,Never-married,Craft-repair,Male,0
48,14,0,0,40,Masters,Divorced,Other-service,Male,0
28,10,0,0,40,Some-college,Never-married,Adm-clerical,Female,0
29,14,0,0,40,Masters,Never-married,Prof-specialty,Male,0
38,14,99999,0,70,Masters,Married-civ-spouse,Exec-managerial,Male,1
23,10,0,0,40,Some-college,Married-civ-spouse,Adm-clerical,Female,0
32,13,0,0,60,Bachelors,Married-civ-spouse,Farming-fishing,Male,0
35,9,0,0,40,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,0
25,13,4865,0,48,Bachelors,Never-married,Prof-specialty,Male,0
28,10,0,0,30,Some-college,Married-civ-spouse,Adm-clerical,Female,1
28,10,0,0,50,Some-college,Married-civ-spouse,Sales,Male,0
36,9,0,0,40,HS-grad,Never-married,Machine-op-inspct,Male,0
33,9,0,0,55,HS-grad,Divorced,Transport-moving,Male,0
39,9,0,0,42,HS-grad,Married-civ-spouse,Other-service,Male,0
40,14,99999,0,50,Masters,Married-civ-spouse,Exec-managerial,Male,1
30,10,0,0,40,Some-college,Married-civ-spouse,Craft-repair,Male,0
18,7,0,0,25,11th,Never-married,,Female,0
35,10,0,0,40,Some-college,Married-civ-spouse,Transport-moving,Male,0
58,10,0,0,20,Some-college,Widowed,Prof-specialty,Female,0
31,12,0,0,40,Assoc-acdm,Married-civ-spouse,Prof-specialty,Female,1
58,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
25,9,0,0,40,HS-grad,Never-married,Other-service,Male,0
36,7,0,0,40,11th,Married-civ-spouse,Craft-repair,Male,0
39,10,0,0,47,Some-college,Divorced,Sales,Male,0
18,9,0,0,15,HS-grad,Never-married,,Male,0
